Date,Rainfall
1/1/2014,144.6
2/1/2014,7
3/1/2014,193.6
4/1/2014,274.6
5/1/2014,372
6/1/2014,25.2
7/1/2014,118
8/1/2014,199.4
9/1/2014,211.8
10/1/2014,276.8
11/1/2014,388.6
12/1/2014,356.2
1/1/2015,177.8
2/1/2015,183.4
3/1/2015,367.6
4/1/2015,385.6
5/1/2015,156.1
6/1/2015,183.4
7/1/2015,87.4
8/1/2015,324.8
9/1/2015,195.8
10/1/2015,417.2
11/1/2015,448.4
12/1/2015,427.8
1/1/2016,240
2/1/2016,68.8
3/1/2016,141.4
4/1/2016,246.6
5/1/2016,367.4
6/1/2016,182.6
7/1/2016,230.6
8/1/2016,118.2
9/1/2016,247.4
10/1/2016,173.4
11/1/2016,363.2
12/1/2016,256.2
1/1/2017,242.6
2/1/2017,106.2
3/1/2017,218.2
4/1/2017,335.8
5/1/2017,233
6/1/2017,202.4
7/1/2017,147.2
8/1/2017,278.2
9/1/2017,267.2
10/1/2017,174
11/1/2017,336.4
12/1/2017,91.6
1/1/2018,426.6
2/1/2018,129.6
3/1/2018,351
4/1/2018,221.6
5/1/2018,531.2
6/1/2018,204
7/1/2018,119.8
8/1/2018,95.6
9/1/2018,375.6
10/1/2018,449.2
11/1/2018,416.6
12/1/2018,214.6
1/1/2019,242.8
2/1/2019,191.8
3/1/2019,161.2
4/1/2019,357.4
5/1/2019,246.6
6/1/2019,210.6
7/1/2019,151.6
8/1/2019,140
9/1/2019,138
10/1/2019,647.6
11/1/2019,307
12/1/2019,344
1/1/2020,192
2/1/2020,168.4
3/1/2020,315
4/1/2020,443.8
5/1/2020,164.6
6/1/2020,216
7/1/2020,439.6
8/1/2020,42
9/1/2020,341.8
10/1/2020,194.2
11/1/2020,418.2
12/1/2020,300.4
1/1/2021,297.6
2/1/2021,15.6
3/1/2021,421.2
4/1/2021,405.8
5/1/2021,404.6
6/1/2021,162.2
7/1/2021,171.8
8/1/2021,184.4
9/1/2021,295.6
10/1/2021,158
11/1/2021,348.4
12/1/2021,699.6
1/1/2022,220.6
2/1/2022,162.2
3/1/2022,386.4
4/1/2022,170.4
5/1/2022,181.8
6/1/2022,272.2
7/1/2022,104.4
8/1/2022,232.6
9/1/2022,164
10/1/2022,195
11/1/2022,388
12/1/2022,332.7
1/1/2023,203.6
2/1/2023,178.4
3/1/2023,384.4
4/1/2023,220.6
5/1/2023,256
6/1/2023,145.8
7/1/2023,218.2
8/1/2023,248.2
9/1/2023,123.8
10/1/2023,425.4
11/1/2023,327.8
12/1/2023,465
